date,power
"Просмотр архива за вторник, 1 ноября 2011",C6.83
"Просмотр архива за среда, 2 ноября 2011",M6.18
"Просмотр архива за четверг, 3 ноября 2011",X2.85
"Просмотр архива за пятница, 4 ноября 2011",M1.44
"Просмотр архива за суббота, 5 ноября 2011",M5.42
"Просмотр архива за воскресенье, 6 ноября 2011",M2.05
"Просмотр архива за понедельник, 7 ноября 2011",C5.13
"Просмотр архива за вторник, 8 ноября 2011",C3.71
"Просмотр архива за среда, 9 ноября 2011",M1.65
"Просмотр архива за четверг, 10 ноября 2011",C8.7
"Просмотр архива за пятница, 11 ноября 2011",C7.82
"Просмотр архива за суббота, 12 ноября 2011",C3.67
"Просмотр архива за воскресенье, 13 ноября 2011",C3.74
"Просмотр архива за понедельник, 14 ноября 2011",C7.55
"Просмотр архива за вторник, 15 ноября 2011",M2.81
"Просмотр архива за среда, 16 ноября 2011",M1.13
"Просмотр архива за четверг, 17 ноября 2011",C8.58
"Просмотр архива за пятница, 18 ноября 2011",C5.21
"Просмотр архива за суббота, 19 ноября 2011",C6.56
"Просмотр архива за воскресенье, 20 ноября 2011",C8.73
"Просмотр архива за понедельник, 21 ноября 2011",C4.49
"Просмотр архива за вторник, 22 ноября 2011",C7.11
"Просмотр архива за среда, 23 ноября 2011",C3.83
"Просмотр архива за четверг, 24 ноября 2011",C2.82
"Просмотр архива за пятница, 25 ноября 2011",C4.74
"Просмотр архива за суббота, 26 ноября 2011",C2.19
"Просмотр архива за воскресенье, 27 ноября 2011",C1.99
"Просмотр архива за понедельник, 28 ноября 2011",C4.64
"Просмотр архива за вторник, 29 ноября 2011",C3.59
"Просмотр архива за среда, 30 ноября 2011",C5.44
